skORF	gene	ORF	kmORF
SKDZ_12G3540	RPL38	YLR325C	KLMA_40039
SKDZ_12G3550	YLR326W	YLR326W	KLMA_40042
SKDZ_12G3560	TMA10	YLR327C	NA
SKDZ_12G3570	NMA1	YLR328W	KLMA_40046
SKDZ_12G3580	REC102	YLR329W	KLMA_40052
SKDZ_12G3590	CHS5	YLR330W	KLMA_20465
SKDZ_12G3600	MID2	YLR332W	KLMA_30609
SKDZ_12G3610	RPS25B	YLR333C	KLMA_50210
SKDZ_12G3620	NUP2	YLR335W	KLMA_50209
SKDZ_12G3630	SGD1	YLR336C	KLMA_50208
SKDZ_12G3640	VRP1	YLR337C	KLMA_50203
SKDZ_12G3650	RPP0	YLR340W	KLMA_50200
SKDZ_12G3660	SPO77	YLR341W	NA
SKDZ_12G3670	FKS1	YLR342W	KLMA_50197
SKDZ_12G3680	GAS2	YLR343W	KLMA_50196
SKDZ_12G3710	RPL26A	YLR344W	KLMA_50194
SKDZ_12G3720	YLR345W	YLR345W	KLMA_50193
SKDZ_12G3730	YLR346C	YLR346C	NA
SKDZ_12G3740	KAP95	YLR347C	KLMA_50191
SKDZ_12G3760	DIC1	YLR348C	NA
SKDZ_12G3780	ORM2	YLR350W	KLMA_50189
SKDZ_12G3790	NIT3	YLR351C	KLMA_30641
SKDZ_12G3800	YLR352W	YLR352W	KLMA_30638
SKDZ_12G3810	BUD8	YLR353W	NA
SKDZ_12G3820	TAL1	YLR354C	KLMA_30634
SKDZ_12G3830	ILV5	YLR355C	KLMA_30631
SKDZ_12G3840	ATG33	YLR356W	KLMA_30630
SKDZ_12G3850	RSC2	YLR357W	KLMA_30074
SKDZ_12G3860	ADE13	YLR359W	KLMA_30075
SKDZ_12G3870	VPS38	YLR360W	KLMA_30077
SKDZ_12G3880	DCR2	YLR361C	KLMA_30078
SKDZ_12G3890	YLR361C-A	YLR361C-A	NA
SKDZ_12G3900	STE11	YLR362W	KLMA_30080
SKDZ_12G3910	NMD4	YLR363C	KLMA_50285
SKDZ_12G3920	YLR363W-A	YLR363W-A	KLMA_50282
SKDZ_12G3930	GRX8	YLR364W	KLMA_50279
SKDZ_12G3940	RPS22B	YLR367W	NA
SKDZ_12G3950	MDM30	YLR368W	NA
SKDZ_12G3960	SSQ1	YLR369W	KLMA_50274
SKDZ_12G3970	ARC18	YLR370C	KLMA_50273
SKDZ_12G3980	ROM2	YLR371W	KLMA_50272
SKDZ_12G4000	VID22	YLR373C	NA
SKDZ_12G4010	STP3	YLR375W	NA
SKDZ_12G4020	PSY3	YLR376C	NA
SKDZ_12G4030	FBP1	YLR377C	NA
SKDZ_12G4040	SEC61	YLR378C	KLMA_20424
SKDZ_12G4060	CSR1	YLR380W	KLMA_70079
SKDZ_12G4070	CTF3	YLR381W	KLMA_70078
SKDZ_12G4080	NAM2	YLR382C	KLMA_70077
SKDZ_12G4090	SMC6	YLR383W	KLMA_70076
SKDZ_12G4100	IKI3	YLR384C	KLMA_70073
SKDZ_12G4110	SWC7	YLR385C	KLMA_70072
SKDZ_12G4120	VAC14	YLR386W	KLMA_70071
SKDZ_12G4130	REH1	YLR387C	KLMA_70070
SKDZ_12G4140	RPS29A	YLR388W	KLMA_70068
SKDZ_12G4150	STE23	YLR389C	KLMA_70067
SKDZ_12G4160	ECM19	YLR390W	NA
SKDZ_12G4170	CCW14	YLR390W-A	KLMA_70062
SKDZ_12G4180	ART10	YLR392C	NA
SKDZ_12G4190	ATP10	YLR393W	KLMA_70061
SKDZ_12G4200	CST9	YLR394W	KLMA_40469
SKDZ_12G4210	COX8	YLR395C	KLMA_40468
SKDZ_12G4220	VPS33	YLR396C	KLMA_40466
SKDZ_12G4230	AFG2	YLR397C	KLMA_40465
SKDZ_12G4240	SKI2	YLR398C	KLMA_40463
SKDZ_12G4250	BDF1	YLR399C	KLMA_40460
SKDZ_12G4270	DUS3	YLR401C	KLMA_40458
SKDZ_12G4280	SFP1	YLR403W	KLMA_40457
SKDZ_12G4290	FLD1	YLR404W	NA
SKDZ_12G4300	DUS4	YLR405W	KLMA_40453
SKDZ_12G4310	RPL31B	YLR406C	KLMA_40452
SKDZ_12G4320	YLR407W	YLR407W	KLMA_40450
SKDZ_12G4330	BLS1	YLR408C	KLMA_40520
SKDZ_12G4340	UTP21	YLR409C	KLMA_40522
SKDZ_12G4350	VIP1	YLR410W	KLMA_40523
SKDZ_12G4360	CTR3	YLR411W	NA
SKDZ_12G4370	BER1	YLR412W	KLMA_40525
SKDZ_12G4400	PUN1	YLR414C	KLMA_40532
SKDZ_12G4410	VPS36	YLR417W	KLMA_40534
SKDZ_12G4420	CDC73	YLR418C	KLMA_10638
SKDZ_12G4430	YLR419W	YLR419W	KLMA_10639
SKDZ_12G4440	URA4	YLR420W	KLMA_10633
SKDZ_12G4450	RPN13	YLR421C	KLMA_10631
SKDZ_12G4470	ATG17	YLR423C	KLMA_10625
SKDZ_12G4480	SPP382	YLR424W	KLMA_10624
SKDZ_12G4500	TUS1	YLR425W	KLMA_10620
SKDZ_12G4510	TDA5	YLR426W	KLMA_10619
SKDZ_12G4520	MAG2	YLR427W	KLMA_10617
SKDZ_12G4530	CRN1	YLR429W	KLMA_10616
SKDZ_12G4540	SEN1	YLR430W	KLMA_50186
SKDZ_12G4550	ATG23	YLR431C	KLMA_50185
SKDZ_12G4560	IMD3	YLR432W	KLMA_50183
SKDZ_12G4560	IMD3	YLR432W	KLMA_50184
SKDZ_12G4570	CNA1	YLR433C	NA
SKDZ_12G4580	TSR2	YLR435W	KLMA_50181
SKDZ_12G4590	ECM30	YLR436C	KLMA_50180
SKDZ_12G4600	DIF1	YLR437C	NA
SKDZ_12G4630	LSM3	YLR438C-A	KLMA_50176
SKDZ_12G4640	MRPL4	YLR439W	KLMA_50175
SKDZ_12G4650	SEC39	YLR440C	KLMA_50172
SKDZ_12G4660	RPS1A	YLR441C	KLMA_50170
SKDZ_12G4670	SIR3	YLR442C	NA
SKDZ_12G4680	ECM7	YLR443W	KLMA_50167
SKDZ_12G4700	GMC2	YLR445W	KLMA_50164
SKDZ_12G4710	YLR446W	YLR446W	NA
SKDZ_12G4720	VMA6	YLR447C	KLMA_40440
SKDZ_12G4730	RPL6B	YLR448W	NA
SKDZ_12G4740	FPR4	YLR449W	NA
SKDZ_12G4750	HMG2	YLR450W	NA
SKDZ_12G4760	LEU3	YLR451W	KLMA_60441
SKDZ_12G4770	SST2	YLR452C	KLMA_60443
SKDZ_12G4780	RIF2	YLR453C	NA
SKDZ_12G4790	FMP27	YLR454W	KLMA_70266
SKDZ_12G4810	YLR456W	YLR456W	NA
SKDZ_12G4820	NBP1	YLR457C	KLMA_20504
SKDZ_12G4830	GAB1	YLR459W	KLMA_20497
SKDZ_12G4840	YLR460C	YLR460C	KLMA_60268
SKDZ_13G0020	ARR3	YPR201W	KLMA_70010
SKDZ_13G0020	ARR3	YPR201W	KLMA_80422
SKDZ_13G0020	ARR3	YPR201W	KLMA_80425
SKDZ_13G0030	ARR2	YPR200C	NA
SKDZ_13G0040	ARR1	YPR199C	NA
SKDZ_13G0050	YHL044W	YHL044W	NA
SKDZ_13G0060	YML131W	YML131W	NA
SKDZ_13G0070	ERO1	YML130C	KLMA_20667
SKDZ_13G0080	COX14	YML129C	NA
SKDZ_13G0090	MSC1	YML128C	KLMA_20659
SKDZ_13G0100	RSC9	YML127W	KLMA_60447
SKDZ_13G0110	ERG13	YML126C	KLMA_60445
SKDZ_13G0120	PGA3	YML125C	KLMA_70262
SKDZ_13G0130	TUB3	YML124C	KLMA_70260
SKDZ_13G0140	PHO84	YML123C	KLMA_70258
SKDZ_13G0150	GTR1	YML121W	KLMA_10280
SKDZ_13G0160	NDI1	YML120C	KLMA_10279
SKDZ_13G0170	YML119W	YML119W	KLMA_10277
SKDZ_13G0180	NGL3	YML118W	NA
SKDZ_13G0190	NAB6	YML117W	KLMA_80047
SKDZ_13G0210	ATR1	YML116W	NA
SKDZ_13G0220	VAN1	YML115C	KLMA_80049
SKDZ_13G0230	TAF8	YML114C	KLMA_10576
SKDZ_13G0240	DAT1	YML113W	KLMA_10584
SKDZ_13G0250	CTK3	YML112W	KLMA_10583
SKDZ_13G0260	BUL2	YML111W	KLMA_10582
SKDZ_13G0270	COQ5	YML110C	KLMA_10581
SKDZ_13G0280	ZDS2	YML109W	NA
SKDZ_13G0290	YML108W	YML108W	KLMA_10578
SKDZ_13G0300	PML39	YML107C	KLMA_10586
SKDZ_13G0310	URA5	YML106W	KLMA_10587
SKDZ_13G0320	SEC65	YML105C	KLMA_10588
SKDZ_13G0330	MDM1	YML104C	KLMA_10590
SKDZ_13G0340	NUP188	YML103C	KLMA_20061
SKDZ_13G0350	CAC2	YML102W	KLMA_20067
SKDZ_13G0360	CUE4	YML101C	NA
SKDZ_13G0370	TSL1	YML100W	KLMA_20074
SKDZ_13G0380	ARG81	YML099C	KLMA_20669
SKDZ_13G0390	TAF13	YML098W	KLMA_20668
SKDZ_13G0400	VPS9	YML097C	KLMA_20666
SKDZ_13G0410	YML096W	YML096W	KLMA_20665
SKDZ_13G0420	RAD10	YML095C	KLMA_20664
SKDZ_13G0440	GIM5	YML094W	KLMA_20663
SKDZ_13G0450	UTP14	YML093W	KLMA_20662
SKDZ_13G0460	PRE8	YML092C	KLMA_20661
SKDZ_13G0470	RPM2	YML091C	KLMA_60446
SKDZ_13G0480	UFO1	YML088W	KLMA_70263
SKDZ_13G0490	AIM33	YML087C	NA
SKDZ_13G0500	ALO1	YML086C	KLMA_70261
SKDZ_13G0510	TUB1	YML085C	KLMA_70260
SKDZ_13G0520	YML083C	YML083C	NA
SKDZ_13G0530	YML082W	YML082W	NA
SKDZ_13G0540	ATP18	YML081C-A	KLMA_40511
SKDZ_13G0550	TDA9	YML081W	KLMA_40515
SKDZ_13G0560	DUS1	YML080W	KLMA_40516
SKDZ_13G0570	YML079W	YML079W	KLMA_40517
SKDZ_13G0580	CPR3	YML078W	KLMA_40519
SKDZ_13G0590	BET5	YML077W	KLMA_40448
SKDZ_13G0600	WAR1	YML076C	KLMA_40447
SKDZ_13G0610	HMG1	YML075C	KLMA_40445
SKDZ_13G0620	FPR3	YML074C	KLMA_40444
SKDZ_13G0630	RPL6A	YML073C	KLMA_40443
SKDZ_13G0640	TCB3	YML072C	KLMA_40442
SKDZ_13G0650	COG8	YML071C	KLMA_40441
SKDZ_13G0660	DAK1	YML070W	KLMA_50161
SKDZ_13G0670	POB3	YML069W	KLMA_50162
SKDZ_13G0680	ITT1	YML068W	KLMA_50163
SKDZ_13G0690	ERV41	YML067C	KLMA_50165
SKDZ_13G0700	SMA2	YML066C	KLMA_50166
SKDZ_13G0710	ORC1	YML065W	KLMA_50168
SKDZ_13G0720	TEM1	YML064C	KLMA_50169
SKDZ_13G0730	RPS1B	YML063W	KLMA_50170
SKDZ_13G0740	MFT1	YML062C	KLMA_50171
SKDZ_13G0750	PIF1	YML061C	KLMA_50173
SKDZ_13G0760	OGG1	YML060W	KLMA_50174
SKDZ_13G0770	NTE1	YML059C	KLMA_50177
SKDZ_13G0780	HUG1	YML058W-A	NA
SKDZ_13G0790	SML1	YML058W	NA
SKDZ_13G0810	CMP2	YML057W	NA
SKDZ_13G0820	IMD4	YML056C	KLMA_50183
SKDZ_13G0820	IMD4	YML056C	KLMA_50184
SKDZ_13G0830	SPC2	YML055W	KLMA_10618
SKDZ_13G0840	CYB2	YML054C	KLMA_10621
SKDZ_13G0860	YML053C	YML053C	NA
SKDZ_13G0870	SUR7	YML052W	KLMA_10428
SKDZ_13G0880	AIM32	YML050W	KLMA_10426
SKDZ_13G0890	RSE1	YML049C	KLMA_10425
SKDZ_13G0900	GSF2	YML048W	KLMA_10424
SKDZ_13G0910	PRM6	YML047C	NA
SKDZ_13G0920	PRP39	YML046W	KLMA_10421
SKDZ_13G0930	RRN11	YML043C	KLMA_10256
SKDZ_13G0940	CAT2	YML042W	KLMA_30654
SKDZ_13G0950	VPS71	YML041C	KLMA_30653
SKDZ_13G0960	YMD8	YML038C	KLMA_20252
SKDZ_13G0970	YML037C	YML037C	NA
SKDZ_13G0980	CGI121	YML036W	KLMA_30536
SKDZ_13G0990	AMD1	YML035C	KLMA_70014
SKDZ_13G1000	SRC1	YML034W	KLMA_40566
SKDZ_13G1010	RAD52	YML032C	KLMA_40568
SKDZ_13G1020	NDC1	YML031W	KLMA_40569
SKDZ_13G1030	RCF1	YML030W	KLMA_40572
SKDZ_13G1040	USA1	YML029W	KLMA_40573
SKDZ_13G1050	TSA1	YML028W	KLMA_40574
SKDZ_13G1070	RPS18B	YML026C	KLMA_40577
SKDZ_13G1080	YML6	YML025C	KLMA_40578
SKDZ_13G1090	RPS17A	YML024W	KLMA_40581
SKDZ_13G1100	NSE5	YML023C	KLMA_40586
SKDZ_13G1110	APT1	YML022W	KLMA_40587
SKDZ_13G1120	UNG1	YML021C	KLMA_40589
SKDZ_13G1130	YML020W	YML020W	KLMA_40590
SKDZ_13G1140	OST6	YML019W	KLMA_40592
SKDZ_13G1150	YML018C	YML018C	KLMA_40593
SKDZ_13G1160	PSP2	YML017W	NA
SKDZ_13G1170	PPZ1	YML016C	NA
SKDZ_13G1180	TAF11	YML015C	KLMA_40598
SKDZ_13G1190	TRM9	YML014W	KLMA_40600
SKDZ_13G1200	UBX2	YML013W	KLMA_40601
SKDZ_13G1210	ERV25	YML012W	KLMA_40604
SKDZ_13G1220	RAD33	YML011C	KLMA_40605
SKDZ_13G1230	SPT5	YML010W	KLMA_40606
SKDZ_13G1250	MRPL39	YML009C	KLMA_40607
SKDZ_13G1260	ERG6	YML008C	KLMA_30671
SKDZ_13G1270	YAP1	YML007W	KLMA_30670
SKDZ_13G1280	GIS4	YML006C	KLMA_30669
SKDZ_13G1290	TRM12	YML005W	NA
SKDZ_13G1300	GLO1	YML004C	KLMA_60462
SKDZ_13G1310	YML003W	YML003W	NA
SKDZ_13G1320	YPT7	YML001W	KLMA_80039
SKDZ_13G1330	CDC5	YMR001C	KLMA_10270
SKDZ_13G1350	AIM34	YMR003W	KLMA_10267
SKDZ_13G1360	MVP1	YMR004W	KLMA_10263
SKDZ_13G1370	TAF4	YMR005W	KLMA_10261
SKDZ_13G1380	PLB2	YMR006C	NA
SKDZ_13G1390	PLB1	YMR008C	KLMA_10260
SKDZ_13G1400	ADI1	YMR009W	KLMA_50412
SKDZ_13G1410	YMR010W	YMR010W	KLMA_50413
SKDZ_13G1420	HXT2	YMR011W	NA
SKDZ_13G1430	CLU1	YMR012W	KLMA_60304
SKDZ_13G1440	SEC59	YMR013C	KLMA_60419
SKDZ_13G1460	BUD22	YMR014W	KLMA_60418
SKDZ_13G1470	ERG5	YMR015C	KLMA_60417
SKDZ_13G1480	SOK2	YMR016C	KLMA_60525
SKDZ_13G1490	SPO20	YMR017W	NA
SKDZ_13G1500	YMR018W	YMR018W	NA
SKDZ_13G1510	STB4	YMR019W	NA
SKDZ_13G1520	FMS1	YMR020W	KLMA_40378
SKDZ_13G1530	MAC1	YMR021C	KLMA_40379
SKDZ_13G1540	UBC7	YMR022W	KLMA_40380
SKDZ_13G1550	MSS1	YMR023C	KLMA_40384
SKDZ_13G1560	MRPL3	YMR024W	KLMA_40385
SKDZ_13G1570	CSI1	YMR025W	NA
SKDZ_13G1580	PEX12	YMR026C	KLMA_40387
SKDZ_13G1590	YMR027W	YMR027W	KLMA_80249
SKDZ_13G1600	TAP42	YMR028W	KLMA_80253
SKDZ_13G1610	FAR8	YMR029C	KLMA_80255
SKDZ_13G1620	RSF1	YMR030W	NA
SKDZ_13G1630	EIS1	YMR031C	KLMA_80261
SKDZ_13G1640	HOF1	YMR032W	KLMA_80262
SKDZ_13G1650	ARP9	YMR033W	KLMA_80264
SKDZ_13G1660	YMR034C	YMR034C	KLMA_40319
SKDZ_13G1670	IMP2	YMR035W	KLMA_40318
SKDZ_13G1680	MIH1	YMR036C	KLMA_40317
SKDZ_13G1690	MSN2	YMR037C	KLMA_40315
SKDZ_13G1700	CCS1	YMR038C	KLMA_40313
SKDZ_13G1710	SUB1	YMR039C	KLMA_40311
SKDZ_13G1720	YET2	YMR040W	KLMA_40309
SKDZ_13G1730	ARA2	YMR041C	KLMA_40310
SKDZ_13G1740	ARG80	YMR042W	NA
SKDZ_13G1750	MCM1	YMR043W	KLMA_40307
SKDZ_13G1760	IOC4	YMR044W	KLMA_40306
SKDZ_13G1770	NUP116	YMR047C	NA
SKDZ_13G1780	CSM3	YMR048W	KLMA_40303
SKDZ_13G1790	ERB1	YMR049C	KLMA_40302
SKDZ_13G1800	FAR3	YMR052W	KLMA_60194
SKDZ_13G1810	STB2	YMR053C	KLMA_60193
SKDZ_13G1820	STV1	YMR054W	KLMA_60192
SKDZ_13G1830	BUB2	YMR055C	KLMA_60189
SKDZ_13G1840	AAC1	YMR056C	NA
SKDZ_13G1850	FET3	YMR058W	KLMA_60187
SKDZ_13G1860	SEN15	YMR059W	KLMA_60184
SKDZ_13G1870	SAM37	YMR060C	KLMA_60183
SKDZ_13G1880	RNA14	YMR061W	KLMA_60182
SKDZ_13G1890	ARG7	YMR062C	KLMA_60181
SKDZ_13G1900	RIM9	YMR063W	KLMA_50130
SKDZ_13G1910	AEP1	YMR064W	KLMA_60178
SKDZ_13G1920	KAR5	YMR065W	KLMA_60177
SKDZ_13G1930	SOV1	YMR066W	KLMA_60171
SKDZ_13G1940	UBX4	YMR067C	KLMA_60170
SKDZ_13G1950	AVO2	YMR068W	KLMA_60169
SKDZ_13G1960	NAT4	YMR069W	NA
SKDZ_13G1970	MOT3	YMR070W	KLMA_60332
SKDZ_13G1980	TVP18	YMR071C	KLMA_60331
SKDZ_13G1990	ABF2	YMR072W	NA
SKDZ_13G2000	IRC21	YMR073C	KLMA_60328
SKDZ_13G2010	YMR074C	YMR074C	KLMA_60326
SKDZ_13G2020	RCO1	YMR075W	KLMA_60325
SKDZ_13G2040	PDS5	YMR076C	KLMA_60324
SKDZ_13G2050	VPS20	YMR077C	KLMA_20289
SKDZ_13G2060	CTF18	YMR078C	KLMA_30053
SKDZ_13G2070	SEC14	YMR079W	KLMA_50221
SKDZ_13G2080	NAM7	YMR080C	KLMA_50219
SKDZ_13G2090	ISF1	YMR081C	NA
SKDZ_13G2100	ADH3	YMR083W	KLMA_80306
SKDZ_13G2110	YMR084W	YMR084W	KLMA_20155
SKDZ_13G2120	SEG1	YMR086W	NA
SKDZ_13G2130	YMR087W	YMR087W	KLMA_20152
SKDZ_13G2140	VBA1	YMR088C	KLMA_20151
SKDZ_13G2150	YTA12	YMR089C	KLMA_20150
SKDZ_13G2160	YMR090W	YMR090W	NA
SKDZ_13G2170	NPL6	YMR091C	KLMA_20149
SKDZ_13G2180	AIP1	YMR092C	KLMA_20148
SKDZ_13G2190	UTP15	YMR093W	KLMA_20147
SKDZ_13G2200	CTF13	YMR094W	KLMA_20145
SKDZ_13G2210	SNO1	YMR095C	KLMA_30726
SKDZ_13G2220	SNZ1	YMR096W	KLMA_30724
SKDZ_13G2230	MTG1	YMR097C	KLMA_30569
SKDZ_13G2240	ATP25	YMR098C	KLMA_30567
SKDZ_13G2250	YAR028W	YAR028W	NA
SKDZ_13G2260	YMR099C	YMR099C	KLMA_30562
SKDZ_13G2270	MUB1	YMR100W	KLMA_30090
SKDZ_13G2280	SRT1	YMR101C	KLMA_30092
SKDZ_13G2290	YMR102C	YMR102C	KLMA_30094
SKDZ_13G2300	YPK2	YMR104C	NA
SKDZ_13G2310	PGM2	YMR105C	KLMA_30099
SKDZ_13G2320	YKU80	YMR106C	NA
SKDZ_13G2330	SPG4	YMR107W	KLMA_30101
SKDZ_13G2340	ILV2	YMR108W	KLMA_30105
SKDZ_13G2350	MYO5	YMR109W	KLMA_30106
SKDZ_13G2360	HFD1	YMR110C	NA
SKDZ_13G2370	YMR111C	YMR111C	KLMA_30109
SKDZ_13G2380	MED11	YMR112C	KLMA_30110
SKDZ_13G2390	FOL3	YMR113W	KLMA_30111
SKDZ_13G2400	YMR114C	YMR114C	KLMA_30112
SKDZ_13G2410	MGR3	YMR115W	KLMA_30113
SKDZ_13G2420	ASC1	YMR116C	KLMA_30115
SKDZ_13G2420	ASC1	YMR116C	KLMA_30116
SKDZ_13G2430	SPC24	YMR117C	NA
SKDZ_13G2440	SHH3	YMR118C	NA
SKDZ_13G2450	ASI1	YMR119W	KLMA_40082
SKDZ_13G2460	ADE17	YMR120C	KLMA_40081
SKDZ_13G2470	RPL15B	YMR121C	KLMA_40080
SKDZ_13G2480	YMR122W-A	YMR122W-A	NA
SKDZ_13G2490	PKR1	YMR123W	KLMA_40078
SKDZ_13G2510	STO1	YMR125W	KLMA_40076
SKDZ_13G2520	DLT1	YMR126C	KLMA_40075
SKDZ_13G2530	SAS2	YMR127C	KLMA_40073
SKDZ_13G2540	ECM16	YMR128W	KLMA_40072
SKDZ_13G2550	POM152	YMR129W	KLMA_40069
SKDZ_13G2560	YMR130W	YMR130W	KLMA_40067
SKDZ_13G2570	RRB1	YMR131C	KLMA_40064
SKDZ_13G2580	JLP2	YMR132C	KLMA_40063
SKDZ_13G2590	REC114	YMR133W	NA
SKDZ_13G2610	GID8	YMR135C	KLMA_40059
SKDZ_13G2630	GAT2	YMR136W	NA
SKDZ_13G2640	PSO2	YMR137C	KLMA_40057
SKDZ_13G2650	CIN4	YMR138W	NA
SKDZ_13G2660	RIM11	YMR139W	KLMA_40054
SKDZ_13G2670	SIP5	YMR140W	KLMA_10703
SKDZ_13G2680	RPL13B	YMR142C	KLMA_10701
SKDZ_13G2690	RPS16A	YMR143W	NA
SKDZ_13G2700	YMR144W	YMR144W	KLMA_10699
SKDZ_13G2710	NDE1	YMR145C	NA
SKDZ_13G2720	TIF34	YMR146C	KLMA_20376
SKDZ_13G2730	YMR147W	YMR147W	NA
SKDZ_13G2740	OSW5	YMR148W	NA
SKDZ_13G2750	SWP1	YMR149W	KLMA_20382
SKDZ_13G2760	IMP1	YMR150C	KLMA_20383
SKDZ_13G2770	YIM1	YMR152W	KLMA_30411
SKDZ_13G2780	NUP53	YMR153W	NA
SKDZ_13G2790	RIM13	YMR154C	KLMA_20388
SKDZ_13G2800	YMR155W	YMR155W	KLMA_20658
SKDZ_13G2810	TPP1	YMR156C	KLMA_20655
SKDZ_13G2820	AIM36	YMR157C	KLMA_20653
SKDZ_13G2830	MRPS8	YMR158W	KLMA_20652
SKDZ_13G2840	ATG16	YMR159C	KLMA_20649
SKDZ_13G2860	YMR160W	YMR160W	KLMA_20648
SKDZ_13G2870	HLJ1	YMR161W	KLMA_20645
SKDZ_13G2880	DNF3	YMR162C	KLMA_20644
SKDZ_13G2890	INP2	YMR163C	KLMA_20642
SKDZ_13G2900	MSS11	YMR164C	KLMA_20641
SKDZ_13G2910	PAH1	YMR165C	KLMA_20679
SKDZ_13G2930	MLH1	YMR167W	KLMA_20675
SKDZ_13G2940	CEP3	YMR168C	KLMA_20674
SKDZ_13G2950	ALD3	YMR169C	KLMA_20673
SKDZ_13G2960	ALD2	YMR170C	KLMA_20673
SKDZ_13G2970	EAR1	YMR171C	KLMA_20670
SKDZ_13G2980	HOT1	YMR172W	NA
SKDZ_13G2990	DDR48	YMR173W	NA
SKDZ_13G3000	PAI3	YMR174C	NA
SKDZ_13G3010	SIP18	YMR175W	NA
SKDZ_13G3020	ECM5	YMR176W	KLMA_70229
SKDZ_13G3030	MMT1	YMR177W	NA
SKDZ_13G3040	YMR178W	YMR178W	KLMA_70226
SKDZ_13G3050	SPT21	YMR179W	KLMA_70224
SKDZ_13G3060	CTL1	YMR180C	NA
SKDZ_13G3070	YMR181C	YMR181C	NA
SKDZ_13G3080	RGM1	YMR182C	NA
SKDZ_13G3090	SSO2	YMR183C	KLMA_70218
SKDZ_13G3100	ADD37	YMR184W	NA
SKDZ_13G3120	HSC82	YMR186W	KLMA_50344
SKDZ_13G3130	YMR187C	YMR187C	KLMA_50341
SKDZ_13G3140	MRPS17	YMR188C	KLMA_50336
SKDZ_13G3150	GCV2	YMR189W	KLMA_50333
SKDZ_13G3160	SGS1	YMR190C	KLMA_50331
SKDZ_13G3170	SPG5	YMR191W	NA
SKDZ_13G3180	GYL1	YMR192W	NA
SKDZ_13G3190	MRPL24	YMR193W	KLMA_50325
SKDZ_13G3200	RPL36A	YMR194W	NA
SKDZ_13G3210	ICY1	YMR195W	NA
SKDZ_13G3220	YMR196W	YMR196W	KLMA_30337
SKDZ_13G3230	VTI1	YMR197C	KLMA_30336
SKDZ_13G3240	CIK1	YMR198W	KLMA_30334
SKDZ_13G3250	CLN1	YMR199W	KLMA_20417
SKDZ_13G3260	ROT1	YMR200W	KLMA_20418
SKDZ_13G3270	RAD14	YMR201C	KLMA_20422
SKDZ_13G3280	ERG2	YMR202W	KLMA_60457
SKDZ_13G3290	TOM40	YMR203W	KLMA_60459
SKDZ_13G3300	INP1	YMR204C	KLMA_60460
SKDZ_13G3310	PFK2	YMR205C	KLMA_60461
SKDZ_13G3320	YMR206W	YMR206W	NA
SKDZ_13G3330	HFA1	YMR207C	NA
SKDZ_13G3340	ERG12	YMR208W	KLMA_40418
SKDZ_13G3350	YMR209C	YMR209C	KLMA_40423
SKDZ_13G3360	YMR210W	YMR210W	KLMA_70020
SKDZ_13G3370	DML1	YMR211W	KLMA_40425
SKDZ_13G3380	EFR3	YMR212C	KLMA_40428
SKDZ_13G3390	CEF1	YMR213W	KLMA_40429
SKDZ_13G3400	SCJ1	YMR214W	KLMA_10321
SKDZ_13G3410	GAS3	YMR215W	KLMA_10320
SKDZ_13G3420	SKY1	YMR216C	KLMA_10319
SKDZ_13G3430	GUA1	YMR217W	KLMA_10317
SKDZ_13G3440	TRS130	YMR218C	KLMA_10315
SKDZ_13G3450	ESC1	YMR219W	NA
SKDZ_13G3460	ERG8	YMR220W	KLMA_10313
SKDZ_13G3470	YMR221C	YMR221C	KLMA_10311
SKDZ_13G3480	FSH2	YMR222C	KLMA_10309
SKDZ_13G3490	UBP8	YMR223W	KLMA_10308
SKDZ_13G3500	MRE11	YMR224C	KLMA_10306
SKDZ_13G3510	MRPL44	YMR225C	KLMA_10301
SKDZ_13G3520	YMR226C	YMR226C	KLMA_50296
SKDZ_13G3530	TAF7	YMR227C	KLMA_50294
SKDZ_13G3540	MTF1	YMR228W	KLMA_50293
SKDZ_13G3550	RRP5	YMR229C	KLMA_50291
SKDZ_13G3560	RPS10B	YMR230W	KLMA_50288
SKDZ_13G3570	PEP5	YMR231W	KLMA_30081
SKDZ_13G3580	FUS2	YMR232W	KLMA_30082
SKDZ_13G3590	TRI1	YMR233W	NA
SKDZ_13G3600	RNH1	YMR234W	KLMA_30087
SKDZ_13G3610	RNA1	YMR235C	KLMA_60292
SKDZ_13G3620	TAF9	YMR236W	KLMA_60290
SKDZ_13G3630	BCH1	YMR237W	KLMA_60289
SKDZ_13G3640	DFG5	YMR238W	KLMA_60288
SKDZ_13G3650	RNT1	YMR239C	KLMA_60283
SKDZ_13G3660	CUS1	YMR240C	KLMA_20329
SKDZ_13G3670	YHM2	YMR241W	KLMA_20324
SKDZ_13G3680	RPL20A	YMR242C	KLMA_20318
SKDZ_13G3690	YMR242W-A	YMR242W-A	NA
SKDZ_13G3700	ZRC1	YMR243C	KLMA_20314
SKDZ_13G3710	YMR244W	YMR244W	KLMA_20313
SKDZ_13G3730	FAA4	YMR246W	KLMA_30088
SKDZ_13G3740	RKR1	YMR247C	KLMA_30560
SKDZ_13G3750	GAD1	YMR250W	KLMA_30556
SKDZ_13G3760	GTO3	YMR251W	KLMA_20130
SKDZ_13G3770	HOR7	YMR251W-A	NA
SKDZ_13G3780	YMR252C	YMR252C	KLMA_80319
SKDZ_13G3790	YMR253C	YMR253C	NA
SKDZ_13G3800	GFD1	YMR255W	NA
