accession	kmORF	orth_num	ORF	gene	species
W0T6J7	KLMA_10097	orth1	YNL274C	GOR1	Kmarx
W0T6J8	KLMA_20789	orth1	YOR228C	MCP1	Kmarx
W0T6K0	KLMA_10794	orth1	YBR179C	FZO1	Kmarx
W0T6K2	KLMA_10102	orth1	YEL064C	AVT2	Kmarx
W0T6K3	KLMA_20794	orth1	YOR223W	DSC3	Kmarx
W0T6K5	KLMA_10799	orth1	YPL099C	INA17	Kmarx
W0T6K6	KLMA_20235	orth1	YBR235W	VHC1	Kmarx
W0T6K7	KLMA_10107	orth1	YNL268W	LYP1	Kmarx
W0T6K9	KLMA_20799	orth1	YOR220W	RCN2	Kmarx
W0T6L0	KLMA_20587	orth1	YDR384C	ATO3	Kmarx
W0T6L1	KLMA_10112	orth1	YGR048W	UFD1	Kmarx
W0T6L2	KLMA_20240	orth1	YGL106W	MLC1	Kmarx
W0T6L3	KLMA_20592	NA	NA	NA	Kmarx
W0T6L4	KLMA_10809	orth1	YBR173C	UMP1	Kmarx
W0T6L5	KLMA_20804	orth1	YOR215C	AIM41	Kmarx
W0T6L6	KLMA_20597	orth1	YDR380W	ARO10	Kmarx
W0T6L7	KLMA_10814	orth1	YPL107W	NA	Kmarx
W0T6L8	KLMA_20809	orth1	YOR210W	RPB10	Kmarx
W0T6M1	KLMA_20602	orth1	YDR378C	LSM6	Kmarx
W0T6M3	KLMA_20250	orth1	YCR088W	ABP1	Kmarx
W0T6M4	KLMA_10122	orth1	YNL258C	DSL1	Kmarx
W0T6M6	KLMA_10824	NA	NA	NA	Kmarx
W0T6M7	KLMA_20607	orth1	YDR374C	PHO92	Kmarx
W0T6M8	KLMA_20819	NA	NA	NA	Kmarx
W0T6N0	KLMA_10127	orth1	YNL255C	GIS2	Kmarx
W0T6N1	KLMA_10829	NA	NA	NA	Kmarx
W0T6N4	KLMA_20824	orth1	YOR367W	SCP1	Kmarx
W0T6N7	KLMA_20617	NA	NA	NA	Kmarx
W0T6N8	KLMA_20003	NA	NA	NA	Kmarx
W0T6P1	KLMA_20622	orth1	YNL325C	FIG4	Kmarx
W0T6P2	KLMA_20008	NA	NA	NA	Kmarx
W0T6P3	KLMA_20627	orth1	YNL329C	PEX6	Kmarx
W0T6P6	KLMA_20013	NA	NA	NA	Kmarx
W0T6P8	KLMA_20275	orth1	YBR225W	NA	Kmarx
W0T6P9	KLMA_10147	NA	NA	NA	Kmarx
W0T6Q0	KLMA_20018	orth1	YJR100C	AIM25	Kmarx
W0T6Q1	KLMA_20637	NA	NA	NA	Kmarx
W0T6Q3	KLMA_20023	orth1	YDR074W	TPS2	Kmarx
W0T6Q4	KLMA_20280	orth1	YKL222C	NA	Kmarx
W0T6Q5	KLMA_10152	orth1	YCR038C	BUD5	Kmarx
W0T6Q6	KLMA_20642	orth1	YMR163C	INP2	Kmarx
W0T6Q8	KLMA_20285	orth1	YGL044C	RNA15	Kmarx
W0T6R0	KLMA_20033	orth1	YER141W	COX15	Kmarx
W0T6R4	KLMA_20652	orth1	YMR158W	MRPS8	Kmarx
W0T6R5	KLMA_10162	orth1	YDR486C	VPS60	Kmarx
W0T6R6	KLMA_20834	NA	NA	NA	Kmarx
W0T6R8	KLMA_20043	orth1	YBL013W	FMT1	Kmarx
W0T6R9	KLMA_20295	orth1	YGL185C	NA	Kmarx
W0T6S0	KLMA_30002 KLMA_50002	NA	NA	NA	Kmarx
W0T6S1	KLMA_20662	orth1	YML093W	UTP14	Kmarx
W0T6S3	KLMA_20300	NA	NA	NA	Kmarx
W0T6S5	KLMA_20053	orth1	YGL030W	RPL30	Kmarx
W0T6S7	KLMA_20672	NA	NA	NA	Kmarx
W0T6T0	KLMA_10167	orth1	YOL094C	RFC4	Kmarx
W0T6T1	KLMA_30012	NA	NA	NA	Kmarx
W0T6T2	KLMA_20310	orth1	YLR055C	SPT8	Kmarx
W0T6T4	KLMA_20063	orth1	YMR266W	RSN1	Kmarx
W0T6T5	KLMA_30017	NA	NA	NA	Kmarx
W0T6T6	KLMA_20068	orth1	YMR264W	CUE1	Kmarx
W0T6T8	KLMA_20315	orth1	YOR315W	SFG1	Kmarx
W0T6T9	KLMA_10142 KLMA_30022	NA	NA	NA	Kmarx
W0T6U0	KLMA_20073	NA	NA	NA	Kmarx
W0T6U2	KLMA_30027	orth1	YKL213C	DOA1	Kmarx
W0T6U5	KLMA_20692	orth1	YLR016C	PML1	Kmarx
W0T6U6	KLMA_30032	orth1	YJR074W	MOG1	Kmarx
W0T6U8	KLMA_20083	orth1	YHR028C	DAP2	Kmarx
W0T6U9	KLMA_30037	NA	NA	NA	Kmarx
W0T6V0	KLMA_20697	NA	NA	NA	Kmarx
W0T6V1	KLMA_10172	orth1	YDL028C	MPS1	Kmarx
W0T6V5	KLMA_30047	orth1	YOL055C	THI20	Kmarx
W0T6V5	KLMA_30047	orth2	YPL258C	THI21	Kmarx
W0T6V5	KLMA_30047	orth3	YPR121W	THI22	Kmarx
W0T6V6	KLMA_10177	orth1	YDL025C	RTK1	Kmarx
W0T6V8	KLMA_20707	orth1	YPR083W	MDM36	Kmarx
W0T6V9	KLMA_30052	orth1	YJR061W	NA	Kmarx
W0T6V9	KLMA_30052	orth2	YKL201C	MNN4	Kmarx
W0T6W0	KLMA_10182	orth1	YOL056W	GPM3	Kmarx
W0T6W2	KLMA_20712	orth1	YBR129C	OPY1	Kmarx
W0T6W3	KLMA_20330	orth1	YDL040C	NAT1	Kmarx
W0T6W4	KLMA_10187	orth1	YAR019C	CDC15	Kmarx
W0T6W5	KLMA_30057	orth1	YKL089W	MIF2	Kmarx
W0T6W6	KLMA_20103	NA	NA	NA	Kmarx
W0T6W7	KLMA_20717	orth1	YPL237W	SUI3	Kmarx
W0T6W8	KLMA_10192	orth1	YIR027C	DAL1	Kmarx
W0T6W9	KLMA_30062	orth1	YHL004W	MRP4	Kmarx
W0T6X0	KLMA_20108	orth1	YCR003W	MRPL32	Kmarx
W0T6X2	KLMA_10197	orth1	YAL063C	FLO9	Kmarx
W0T6X2	KLMA_10197	orth2	YAR050W	FLO1	Kmarx
W0T6X2	KLMA_10197	orth3	YHR211W	FLO5	Kmarx
W0T6X2	KLMA_10197	orth4	YHR213W	NA	Kmarx
W0T6X2	KLMA_10197	orth5	YKR102W	FLO10	Kmarx
W0T6X3	KLMA_30067	orth1	YKL004W	AUR1	Kmarx
W0T6X4	KLMA_20113	orth1	YLL003W	SFI1	Kmarx
W0T6X5	KLMA_10202	NA	NA	NA	Kmarx
W0T6X6	KLMA_20727	orth1	YNL191W	DUG3	Kmarx
W0T6X8	KLMA_10207	orth1	YOL073C	DSC2	Kmarx
W0T6X9	KLMA_20118	orth1	YDR217C	RAD9	Kmarx
W0T6Y0	KLMA_20732	orth1	YNL187W	SWT21	Kmarx
W0T6Y1	KLMA_30077	orth1	YLR360W	VPS38	Kmarx
W0T6Y2	KLMA_10212	orth1	YLR281C	NA	Kmarx
W0T6Y3	KLMA_20335	orth1	YPR100W	MRPL51	Kmarx
W0T6Y4	KLMA_20123	orth1	YDR221W	GTB1	Kmarx
W0T6Y5	KLMA_10217	orth1	YOR181W	LAS17	Kmarx
W0T6Y6	KLMA_30082	orth1	YMR232W	FUS2	Kmarx
W0T6Y7	KLMA_20737	orth1	YNL183C	NPR1	Kmarx
W0T6Z3	KLMA_20345	NA	NA	NA	Kmarx
W0T6Z4	KLMA_10227	orth1	YLR295C	ATP14	Kmarx
W0T6Z7	KLMA_10232	orth1	YOR188W	MSB1	Kmarx
W0T6Z9	KLMA_20747	orth1	YNL175C	NOP13	Kmarx
W0T700	KLMA_30097	orth1	YKL125W	RRN3	Kmarx
W0T701	KLMA_20138	orth1	YKR025W	RPC37	Kmarx
W0T702	KLMA_10237	orth1	YLR301W	HRI1	Kmarx
W0T703	KLMA_20355	orth1	YOL039W	RPP2A	Kmarx
W0T704	KLMA_20752	orth1	YHR144C	DCD1	Kmarx
W0T705	KLMA_30102	orth1	YKL128C	PMU1	Kmarx
W0T707	KLMA_10242	orth1	YBR212W	NGR1	Kmarx
W0T708	KLMA_20360	orth1	YAL014C	SYN8	Kmarx
W0T709	KLMA_20757	orth1	YNL165W	NA	Kmarx
W0T711	KLMA_10247	orth1	YGL058W	RAD6	Kmarx
W0T712	KLMA_20148	orth1	YMR092C	AIP1	Kmarx
W0T713	KLMA_20365	NA	NA	NA	Kmarx
W0T714	KLMA_20762	orth1	YHR141C	RPL42B	Kmarx
W0T714	KLMA_20762	orth2	YNL162W	RPL42A	Kmarx
W0T715	KLMA_30112	orth1	YMR114C	NA	Kmarx
W0T719	KLMA_10257	orth1	YOL013C	HRD1	Kmarx
W0T720	KLMA_20767	orth1	YLR050C	NA	Kmarx
W0T721	KLMA_20375	orth1	YDL085C-A	NA	Kmarx
W0T724	KLMA_10262	orth1	YOL010W	RCL1	Kmarx
W0T725	KLMA_20380	NA	NA	NA	Kmarx
W0T726	KLMA_30122	NA	NA	NA	Kmarx
W0T727	KLMA_20772	NA	NA	NA	Kmarx
W0T728	KLMA_20385	orth1	YDL087C	LUC7	Kmarx
W0T729	KLMA_10267	orth1	YMR003W	AIM34	Kmarx
W0T730	KLMA_30127	NA	NA	NA	Kmarx
W0T731	KLMA_20163	NA	NA	NA	Kmarx
W0T732	KLMA_20390	orth1	YDL091C	UBX3	Kmarx
W0T734	KLMA_10272	orth1	YOL004W	SIN3	Kmarx
W0T737	KLMA_20395	orth1	YNR036C	MRPS12	Kmarx
W0T738	KLMA_10277	orth1	YML119W	NA	Kmarx
W0T739	KLMA_20782	NA	NA	NA	Kmarx
W0T740	KLMA_20173	orth1	YDR101C	ARX1	Kmarx
W0T741	KLMA_30137	NA	NA	NA	Kmarx
W0T742	KLMA_10282	orth1	YOR145C	PNO1	Kmarx
W0T743	KLMA_20400	orth1	YNR039C	ZRG17	Kmarx
W0T744	KLMA_20787	orth1	YOR229W	WTM2	Kmarx
W0T744	KLMA_20787	orth2	YOR230W	WTM1	Kmarx
W0T745	KLMA_20178	orth1	YER180C-A	SLO1	Kmarx
W0T750	KLMA_10292	orth1	YDR397C	NCB2	Kmarx
W0T751	KLMA_20183	NA	NA	NA	Kmarx
W0T752	KLMA_20410	orth1	YGL098W	USE1	Kmarx
W0T754	KLMA_10297	orth1	YDR400W	URH1	Kmarx
W0T755	KLMA_20797	orth1	YPL133C	RDS2	Kmarx
W0T756	KLMA_20188	orth1	YBR077C	SLM4	Kmarx
W0T760	KLMA_20193	orth1	YPL147W	PXA1	Kmarx
W0T763	KLMA_10307	orth1	YOR281C	PLP2	Kmarx
W0T764	KLMA_20425	orth1	YJR101W	RSM26	Kmarx
W0T766	KLMA_20807	orth1	YPL128C	TBF1	Kmarx
W0T767	KLMA_30157	orth1	YJL098W	SAP185	Kmarx
W0T768	KLMA_10312	orth1	YOR279C	RFM1	Kmarx
W0T769	KLMA_20430	orth1	YDR078C	SHU2	Kmarx
W0T770	KLMA_20203	orth1	YOR242C	SSP2	Kmarx
W0T772	KLMA_20812	orth1	YPL125W	KAP120	Kmarx
W0T774	KLMA_20435	orth1	YLL032C	NA	Kmarx
W0T777	KLMA_30167	NA	NA	NA	Kmarx
W0T779	KLMA_10327	NA	NA	NA	Kmarx
W0T780	KLMA_30172	orth1	YKR021W	ALY1	Kmarx
W0T781	KLMA_20440	orth1	YHL027W	RIM101	Kmarx
W0T782	KLMA_20213	orth1	YFL003C	MSH4	Kmarx
W0T784	KLMA_20822	orth1	YJL073W	JEM1	Kmarx
W0T786	KLMA_30177	orth1	YGR169C	PUS6	Kmarx
W0T787	KLMA_20218	orth1	YKR100C	SKG1	Kmarx
W0T790	KLMA_20827	NA	NA	NA	Kmarx
W0T791	KLMA_20223	orth1	YGL196W	DSD1	Kmarx
W0T793	KLMA_10342	orth1	YJL134W	LCB3	Kmarx
W0T793	KLMA_10342	orth2	YKR053C	YSR3	Kmarx
W0T794	KLMA_30187	orth1	YDL004W	ATP16	Kmarx
W0T795	KLMA_20228	orth1	YBR233W	PBP2	Kmarx
W0T796	KLMA_20455	orth1	YLL022C	HIF1	Kmarx
W0T797	KLMA_10347	orth1	YJL137C	GLG2	Kmarx
W0T797	KLMA_10347	orth2	YKR058W	GLG1	Kmarx
W0T798	KLMA_30192	orth1	YJL023C	PET130	Kmarx
W0T799	KLMA_20460	orth1	YPR011C	NA	Kmarx
W0T7A0	KLMA_20233	orth1	YGL111W	NSA1	Kmarx
W0T7A1	KLMA_30197	orth1	YGR173W	RBG2	Kmarx
W0T7A2	KLMA_10352	orth1	YJL141C	YAK1	Kmarx
W0T7A3	KLMA_20465	orth1	YLR330W	CHS5	Kmarx
W0T7A4	KLMA_20238	NA	NA	NA	Kmarx
W0T7A5	KLMA_30202	orth1	YJL025W	RRN7	Kmarx
W0T7A7	KLMA_20470	orth1	YNR003C	RPC34	Kmarx
W0T7A8	KLMA_20832 KLMA_50636	orth1	YNR057C	BIO4	Kmarx
W0T7A9	KLMA_20243	orth1	YCR083W	TRX3	Kmarx
W0T7B1	KLMA_20475	orth1	YOR018W	ROD1	Kmarx
W0T7B2	KLMA_10362	orth1	YKR063C	LAS1	Kmarx
W0T7B3	KLMA_20248	orth1	YCR086W	CSM1	Kmarx
W0T7B5	KLMA_20480	orth1	YNL006W	LST8	Kmarx
W0T7B6	KLMA_10367	NA	NA	NA	Kmarx
W0T7B7	KLMA_20253	orth1	YDR463W	STP1	Kmarx
W0T7B7	KLMA_20253	orth2	YHR006W	STP2	Kmarx
W0T7B8	KLMA_30217	orth1	YLL013C	PUF3	Kmarx
W0T7B9	KLMA_20485	orth1	YNL003C	PET8	Kmarx
W0T7C0	KLMA_30222	orth1	YLL011W	SOF1	Kmarx
W0T7C1	KLMA_10372	orth1	YJL181W	NA	Kmarx
W0T7C1	KLMA_10372	orth2	YJR030C	NA	Kmarx
W0T7C2	KLMA_20258	NA	NA	NA	Kmarx
W0T7C3	KLMA_20837	NA	NA	NA	Kmarx
W0T7C5	KLMA_20490	orth1	YGL186C	TPN1	Kmarx
W0T7C8	KLMA_20495	orth1	YFL034C-A	RPL22B	Kmarx
W0T7C8	KLMA_20495	orth2	YLR061W	RPL22A	Kmarx
W0T7C9	KLMA_30232	orth1	YLL005C	SPO75	Kmarx
W0T7D0	KLMA_10382	orth1	YKL178C	STE3	Kmarx
W0T7D1	KLMA_20500	orth1	YPR179C	HDA3	Kmarx
W0T7D2	KLMA_30237	orth1	YDR277C	MTH1	Kmarx
W0T7D2	KLMA_30237	orth2	YOR047C	STD1	Kmarx
W0T7D3	KLMA_30003 KLMA_30005 KLMA_30007 KLMA_40631 KLMA_50003	NA	NA	NA	Kmarx
W0T7D4	KLMA_20268	orth1	YGL123W	RPS2	Kmarx
W0T7D5	KLMA_30242	orth1	YOR042W	CUE5	Kmarx
W0T7D6	KLMA_20505	orth1	YGR125W	NA	Kmarx
W0T7D7	KLMA_10387	orth1	YKL173W	SNU114	Kmarx
W0T7D8	KLMA_30010	NA	NA	NA	Kmarx
W0T7E0	KLMA_30247	orth1	YKR067W	GPT2	Kmarx
W0T7E1	KLMA_20510	orth1	YPR148C	NA	Kmarx
W0T7E2	KLMA_10392	orth1	YKL170W	MRPL38	Kmarx
W0T7E3	KLMA_30015	NA	NA	NA	Kmarx
W0T7E4	KLMA_30252	orth1	YOR052C	TMC1	Kmarx
W0T7E6	KLMA_20515	orth1	YER048W-A	ISD11	Kmarx
W0T7E7	KLMA_10397	orth1	YNL295W	NA	Kmarx
W0T7E8	KLMA_30020	NA	NA	NA	Kmarx
W0T7E9	KLMA_20520	NA	NA	NA	Kmarx
W0T7F1	KLMA_30257	orth1	YOR057W	SGT1	Kmarx
W0T7F3	KLMA_30025	orth1	YJR077C	MIR1	Kmarx
W0T7F4	KLMA_20525	orth1	YIL035C	CKA1	Kmarx
W0T7F5	KLMA_10407	orth1	YOR077W	RTS2	Kmarx
W0T7F6	KLMA_30262	orth1	YOR061W	CKA2	Kmarx
W0T7F9	KLMA_20530	orth1	YFR037C	RSC8	Kmarx
W0T7G0	KLMA_10412	orth1	YKR084C	HBS1	Kmarx
W0T7G1	KLMA_30267	orth1	YOR065W	CYT1	Kmarx
W0T7G4	KLMA_20535	orth1	YGR133W	PEX4	Kmarx
W0T7G5	KLMA_10417	orth1	YKR082W	NUP133	Kmarx
W0T7G6	KLMA_30272	NA	NA	NA	Kmarx
W0T7G7	KLMA_30040	orth1	YKL206C	ADD66	Kmarx
W0T7G8	KLMA_10422	orth1	YJR053W	BFA1	Kmarx
W0T7G9	KLMA_20540	orth1	YGR135W	PRE9	Kmarx
W0T7H0	KLMA_20298	orth1	YGL192W	IME4	Kmarx
W0T7H3	KLMA_10427	NA	NA	NA	Kmarx
W0T7H4	KLMA_20545	orth1	YGR140W	CBF2	Kmarx
W0T7H5	KLMA_20303	orth1	YFL031W	HAC1	Kmarx
W0T7H6	KLMA_30282	orth1	YJR049C	UTR1	Kmarx
W0T7H7	KLMA_30050	NA	NA	NA	Kmarx
W0T7H8	KLMA_10432	orth1	YHR017W	YSC83	Kmarx
W0T7H9	KLMA_20550	orth1	YDR464W	SPP41	Kmarx
W0T7I0	KLMA_20308	orth1	YLR056W	ERG3	Kmarx
W0T7I1	KLMA_30055	NA	NA	NA	Kmarx
W0T7I3	KLMA_10437	NA	NA	NA	Kmarx
W0T7I4	KLMA_20555	orth1	YHR009C	TDA3	Kmarx
W0T7I6	KLMA_20313	orth1	YMR244W	NA	Kmarx
W0T7J2	KLMA_20318	orth1	YMR242C	RPL20A	Kmarx
W0T7J2	KLMA_20318	orth2	YOR312C	RPL20B	Kmarx
W0T7J4	KLMA_20565	orth1	YDR392W	SPT3	Kmarx
W0T7J8	KLMA_20323	orth1	YOR307C	SLY41	Kmarx
W0T7K0	KLMA_10452	orth1	YGL004C	RPN14	Kmarx
W0T7K5	KLMA_30085	orth1	YOR296W	NA	Kmarx
W0T7K7	KLMA_30090	orth1	YMR100W	MUB1	Kmarx
W0T7K8	KLMA_20580	orth1	YDR387C	NA	Kmarx
W0T7L0	KLMA_30317	NA	NA	NA	Kmarx
W0T7L1	KLMA_30095	orth1	YKL122C	SRP21	Kmarx
W0T7L2	KLMA_10467	NA	NA	NA	Kmarx
W0T7L3	KLMA_20585	orth1	YOR131C	NA	Kmarx
W0T7L4	KLMA_20328	NA	NA	NA	Kmarx
W0T7L7	KLMA_10472	orth1	YHR185C	PFS1	Kmarx
W0T7L8	KLMA_20590	orth1	YDR382W	RPP2B	Kmarx
W0T7L9	KLMA_30327	orth1	YBL011W	SCT1	Kmarx
W0T7M4	KLMA_30332	orth1	YBR250W	SPO23	Kmarx
W0T7M7	KLMA_30115	orth1	YMR116C	ASC1	Kmarx
W0T7M8	KLMA_10487	orth1	YMR291W	TDA1	Kmarx
W0T7M9	KLMA_30337	orth1	YMR196W	NA	Kmarx
W0T7N0	KLMA_20605	orth1	YDR375C	BCS1	Kmarx
W0T7N2	KLMA_30120	orth1	YKL138C	MRPL31	Kmarx
W0T7N4	KLMA_30342	orth1	YDR319C	YFT2	Kmarx
W0T7N6	KLMA_20338	NA	NA	NA	Kmarx
W0T7N7	KLMA_30125	orth1	YFL004W	VTC2	Kmarx
W0T7N7	KLMA_30125	orth2	YPL019C	VTC3	Kmarx
W0T7N8	KLMA_10497	orth1	YMR295C	NA	Kmarx
W0T7N9	KLMA_30347	NA	NA	NA	Kmarx
W0T7P0	KLMA_20615	NA	NA	NA	Kmarx
W0T7P1	KLMA_20343	orth1	YGR086C	PIL1	Kmarx
W0T7P3	KLMA_10502	orth1	YGR275W	RTT102	Kmarx
W0T7P4	KLMA_30352	NA	NA	NA	Kmarx
W0T7P5	KLMA_20348	orth1	YAL010C	MDM10	Kmarx
W0T7P6	KLMA_30135	orth1	YER140W	EMP65	Kmarx
W0T7P7	KLMA_20620	orth1	YNL323W	LEM3	Kmarx
W0T7P8	KLMA_10507	orth1	YMR314W	PRE5	Kmarx
W0T7Q0	KLMA_30140	orth1	YBL025W	RRN10	Kmarx
W0T7Q2	KLMA_20625	orth1	YNL327W	EGT2	Kmarx
W0T7Q3	KLMA_30145	orth1	YGL195W	GCN1	Kmarx
W0T7Q5	KLMA_10512	orth1	YER182W	FMP10	Kmarx
W0T7Q7	KLMA_20630	orth1	YOL144W	NOP8	Kmarx
W0T7Q8	KLMA_30150	orth1	YNL010W	NA	Kmarx
W0T7Q9	KLMA_30367	orth1	YLR257W	NA	Kmarx
W0T7R0	KLMA_10517	NA	NA	NA	Kmarx
W0T7R2	KLMA_20635	orth1	YOL148C	SPT20	Kmarx
W0T7R4	KLMA_20368	orth1	YAL018C	LDS1	Kmarx
W0T7R6	KLMA_30372	NA	NA	NA	Kmarx
W0T7R7	KLMA_20640	orth1	YNR045W	PET494	Kmarx
W0T7R8	KLMA_30160	orth1	YJL095W	BCK1	Kmarx
W0T7S2	KLMA_20645	orth1	YMR161W	HLJ1	Kmarx
W0T7S3	KLMA_30165	orth1	YJL090C	DPB11	Kmarx
W0T7S5	KLMA_10532	orth1	YOL020W	TAT2	Kmarx
W0T7S6	KLMA_30382	orth1	YGR159C	NSR1	Kmarx
W0T7T0	KLMA_30387	NA	NA	NA	Kmarx
W0T7T1	KLMA_30175	orth1	YDR089W	NA	Kmarx
W0T7T3	KLMA_20655	orth1	YMR156C	TPP1	Kmarx
W0T7T4	KLMA_20388	orth1	YMR154C	RIM13	Kmarx
W0T7T6	KLMA_20660	NA	NA	NA	Kmarx
W0T7T8	KLMA_10542	orth1	YCR015C	NA	Kmarx
W0T7T9	KLMA_20393	NA	NA	NA	Kmarx
W0T7U0	KLMA_30185	orth1	YDL006W	PTC1	Kmarx
W0T7U1	KLMA_20665	orth1	YML096W	NA	Kmarx
W0T7U2	KLMA_30397	orth1	YDR282C	NA	Kmarx
W0T7U6	KLMA_20670	orth1	YMR171C	EAR1	Kmarx
W0T7U7	KLMA_30402	orth1	YHR045W	NA	Kmarx
W0T7U8	KLMA_20403	orth1	YGL103W	RPL28	Kmarx
W0T7U9	KLMA_10552	orth1	YCR019W	MAK32	Kmarx
W0T7V0	KLMA_30195	orth1	YJR006W	POL31	Kmarx
W0T7V2	KLMA_30407	orth1	YLR015W	BRE2	Kmarx
W0T7V4	KLMA_30200	orth1	YGR179C	OKP1	Kmarx
W0T7V5	KLMA_10557	orth1	YCR027C	RHB1	Kmarx
W0T7V6	KLMA_20680	orth1	YLR001C	NA	Kmarx
W0T7V8	KLMA_10562	orth1	YEL018W	EAF5	Kmarx
W0T7V9	KLMA_30412	orth1	YDR284C	DPP1	Kmarx
W0T7W1	KLMA_20685	orth1	YJR003C	NA	Kmarx
W0T7W3	KLMA_10567	NA	NA	NA	Kmarx
W0T7W5	KLMA_20690	orth1	YHR050W	SMF2	Kmarx
W0T7W7	KLMA_20423	orth1	YDL054C	MCH1	Kmarx
W0T7X2	KLMA_20428	NA	NA	NA	Kmarx
W0T7X3	KLMA_30220	orth1	YLR021W	IRC25	Kmarx
W0T7X5	KLMA_20700	orth1	YER129W	SAK1	Kmarx
W0T7X6	KLMA_30427	orth1	YDR295C	HDA2	Kmarx
W0T7X7	KLMA_20433	orth1	YER154W	OXA1	Kmarx
W0T7X9	KLMA_30432	orth1	YDR299W	BFR2	Kmarx
W0T7Y0	KLMA_10582	orth1	YML111W	BUL2	Kmarx
W0T7Y1	KLMA_20705	NA	NA	NA	Kmarx
W0T7Y3	KLMA_20443	orth1	YHL030W	ECM29	Kmarx
W0T7Y4	KLMA_20710	orth1	YPR084W	NA	Kmarx
W0T7Y7	KLMA_20448	orth1	YDR361C	BCP1	Kmarx
W0T7Y8	KLMA_30230	orth1	YLL007C	LMO1	Kmarx
W0T7Y9	KLMA_20453	orth1	YBR271W	EFM2	Kmarx
W0T7Z0	KLMA_20715	orth1	YBR131W	CCZ1	Kmarx
W0T7Z2	KLMA_30442	orth1	YDR306C	NA	Kmarx
W0T7Z3	KLMA_10592	NA	NA	NA	Kmarx
W0T7Z4	KLMA_20720	orth1	YPL239W	YAR1	Kmarx
W0T7Z5	KLMA_30240	orth1	YOR045W	TOM6	Kmarx
W0T7Z6	KLMA_20458	NA	NA	NA	Kmarx
W0T7Z7	KLMA_10597	orth1	YPR018W	RLF2	Kmarx
W0T7Z8	KLMA_30447	NA	NA	NA	Kmarx
W0T7Z9	KLMA_20463	orth1	YGR021W	NA	Kmarx
W0T801	KLMA_30245	orth1	YKL162C	NA	Kmarx
W0T802	KLMA_10602	orth1	YKR020W	VPS51	Kmarx
W0T806	KLMA_20730	NA	NA	NA	Kmarx
W0T808	KLMA_30457	orth1	YPL169C	MEX67	Kmarx
W0T811	KLMA_20735	orth1	YNL186W	UBP10	Kmarx
W0T812	KLMA_10612	orth1	YJL079C	PRY1	Kmarx
W0T814	KLMA_30260	orth1	YOR059C	LPL1	Kmarx
W0T815	KLMA_30462	NA	NA	NA	Kmarx
W0T816	KLMA_20740	orth1	YNL181W	NA	Kmarx
W0T817	KLMA_10617	orth1	YLR427W	MAG2	Kmarx
W0T820	KLMA_30467	orth1	YOR260W	GCD1	Kmarx
W0T821	KLMA_20745	orth1	YNL177C	MRPL22	Kmarx
W0T822	KLMA_20488	orth1	YCL011C	GBP2	Kmarx
W0T822	KLMA_20488	orth2	YNL004W	HRB1	Kmarx
W0T823	KLMA_10622	orth1	YKL196C	YKT6	Kmarx
W0T824	KLMA_30270	orth1	YOR069W	VPS5	Kmarx
W0T826	KLMA_20750	orth1	YNL172W	APC1	Kmarx
W0T828	KLMA_30275	orth1	YEL046C	GLY1	Kmarx
W0T829	KLMA_10627	orth1	YNL040W	NA	Kmarx
W0T831	KLMA_20755	orth1	YHR143W-A	RPC10	Kmarx
W0T832	KLMA_30280	orth1	YJR050W	ISY1	Kmarx
W0T834	KLMA_10632	NA	NA	NA	Kmarx
W0T835	KLMA_30482	NA	NA	NA	Kmarx
W0T836	KLMA_30285	orth1	YER175C	TMT1	Kmarx
W0T838	KLMA_20760	orth1	YNL163C	RIA1	Kmarx
W0T839	KLMA_10637	NA	NA	NA	Kmarx
W0T840	KLMA_20508	orth1	YGR128C	UTP8	Kmarx
W0T842	KLMA_20765	orth1	YHR140W	NA	Kmarx
W0T843	KLMA_30487	orth1	YCR051W	NA	Kmarx
W0T844	KLMA_20513	orth1	YIL041W	GVP36	Kmarx
W0T845	KLMA_10642	orth1	YPL203W	TPK2	Kmarx
W0T846	KLMA_30295	orth1	YER168C	CCA1	Kmarx
W0T848	KLMA_20518	orth1	YIL039W	TED1	Kmarx
W0T849	KLMA_20775	orth1	YER066W	RRT13	Kmarx
W0T849	KLMA_20775	orth2	YFL009W	CDC4	Kmarx
W0T851	KLMA_10647	NA	NA	NA	Kmarx
W0T852	KLMA_20523	orth1	YER046W	SPO73	Kmarx
W0T853	KLMA_30305	orth1	YHL016C	DUR3	Kmarx
W0T854	KLMA_20780	NA	NA	NA	Kmarx
W0T856	KLMA_10652	NA	NA	NA	Kmarx
W0T857	KLMA_30310	NA	NA	NA	Kmarx
W0T859	KLMA_20533	orth1	YDR143C	SAN1	Kmarx
W0T860	KLMA_30492	orth1	YCR054C	CTR86	Kmarx
W0T861	KLMA_10657	NA	NA	NA	Kmarx
W0T862	KLMA_30315	NA	NA	NA	Kmarx
W0T863	KLMA_20538	orth1	YGR134W	CAF130	Kmarx
W0T864	KLMA_20790	orth1	YPL137C	GIP3	Kmarx
W0T865	KLMA_20543	orth1	YPR155C	NCA2	Kmarx
W0T866	KLMA_30320	NA	NA	NA	Kmarx
W0T868	KLMA_10662	orth1	YOL072W	THP1	Kmarx
W0T869	KLMA_20548	NA	NA	NA	Kmarx
W0T870	KLMA_30325	orth1	YGL184C	STR3	Kmarx
W0T872	KLMA_30330	orth1	YPL177C	CUP9	Kmarx
